,Food Item ID,ISSCAAP,3-Alpha,Food name in English,Habitat,State of food,RefID,EDIBLE,EDIBLE.1,ENERC(kJ),ENERC(kcal),WATER(g),NT(g),PROTCNT(g),FAT(g),CHOAVLDF(g),FIBTG(g),CHOLE(mg),ASH(g),CA(mg),CU(mg),FE(mg),K(mg),MG(mg),NA(mg),P(mg),ZN(mg),ID(mcg),SE(mcg),RETOL(mcg),CARTB(mcg),CHOCAL(mcg),TOCPHA(mg),THIA(mg),RIBF(mg),NIAEQ(mg),NIA(mg),PANTAC(mg),VITB6C(mg),FOL(mcg),VITB12(mcg),VITC(mg),ALA(mg),ARG(mg),ASP(mg),CYS(mg),GLU(mg),GLY(mg),HIS(mg),ILE(mg),LEU(mg),LYS(mg),MET(mg),PHE(mg),PRO(mg),SER(mg),THR(mg),TRP(mg),TYR(mg),VAL(mg),XFA,FACID(g),FASAT(g),FAMS(g),FAPU(g),FAUN(g),FATRN(g),FAPUN3(g),FAPUN6(g),F4D0(g),F6D0(g),F8D0(g),F10D0(g),F12D0(g),F13D0(g),F14D0(g),F15D0(g),F16D0(g),F17D0(g),F18D0(g),F19D0(g),F20D0(g),F21D0(g),F22D0(g),F23D0(g),F24D0(g),F26D0(g),F30D0(g),F10D1(g),F14D1N7(g),F14D1(g),F15D1(g),F16D1N9(g),F16D1N7(g),F16D1N5(g),F16D1C(g),F16D1T(g),F16D1(g),F17D1N9(g),F17D1N7(g),F17D1C(g),F17D1(g),F18D1N11(g),F18D1CN9(g),F18D1TN9(g),F18D1N9(g),F18D1CN7(g),F18D1N7(g),F18D1N5(g),F18D1C(g),F18D1T(g),F18D1(g),F19D1(g),F20D1CN11(g),F20D1N11(g),F20D1CN9(g),F20D1N9(g),F20D1N7(g),F20D1C(g),F20D1(g),F22D1N11(g),F22D1N9(g),F22D1C(g),F22D1T(g),F22D1(g),F24D1N9(g),F24D1C(g),F24D1(g),F16D2N6(g),F16D2N4(g),F16D2(g),F17D2(g),F18D2CN6(g),F18D2N6(g),F18D2CLA(g),F18D2C(g),F18D2T(g),F18D2(g),F20D2N9(g),F20D2CN6(g),F20D2N6(g),F20D2C(g),F20D2(g),F22D2N6(g),F22D2(g),F16D3N3(g),F16D3(g),F18D3CN6(g),F18D3N6(g),F18D3N4(g),F18D3CN3(g),F18D3N3(g),F18D3(g),F20D3N9(g),F20D3CN6(g),F20D3N6(g),F20D3N3(g),F20D3(g),F22D3N6(g),F22D3(g),F16D4N3(g),F16D4C(g),F16D4(g),F18D4CN3(g),F18D4N3(g),F18D4(g),F20D4CN6(g),F20D4N6(g),F20D4N3(g),F20D4(g),F22D4CN6(g),F22D4N6(g),F22D4N3(g),F22D4(g),F20D5CN3(g),F20D5N3(g),F20D5(g),F21D5N3,F21D5(g),F22D5N6(g),F22D5CN3(g),F22D5N3(g),F22D5(g),F22D6CN3(g),F22D6N3(g),F22D6(g),F24D6N3(g),F24D6(g)
0,,,,,"W: wild, F: farmed",r: raw; c: cooked; p: processed/preserved,Reference ID,"Edible coefficient, from whole to fillet/flesh","Edible coefficient, from purchased to portion as consumed",Energy (kJ),Energy (kcal),Water,"Nitrogen, total","Protein, total","Fat, total",Available carbohydrates,"Fiber, total dietary",Cholesterol,Ash,Calcium,Copper,Iron,Potassium,Magnesium,Sodium,Phosphorus,Zinc,Iodine,Selenium,Retinol,beta-Carotene,Cholecalciferol (D3),alpha-Tocopherol,Thiamin,Riboflavin  ,"Niacin, equivalents",Niacin,Pantothenic acid,Vitamin B6,"Folate, total",Vitamin B12,Vitamin C,Alanine,Arginine,Asparatic aci ,Cystine,Glutamic acid,Glycine,Histidine,Isoleucin,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Fatty acid conversion factor,"Fatty acids, total","Saturated fatty acids, total","Monounsaturated fatty acids, total","Polyunsaturated fatty acids, total","Fatty acids, not-identified","Fatty acids, trans, total","Fatty acids, total n-3 polyunsaturated","Fatty acids, total n-6 polyunsaturated",Fatty acid 4:0,Fatty acid 6:0,Fatty acid 8:0,Fatty acid 10:0,Fatty acid 12:0,Fatty acid 13:0,Fatty acid 14:0,Fatty acid 15:0,Fatty acid 16:0,Fatty acid 17:0,Fatty acid 18:0,Fatty acid 19:0,Fatty acid 20:0,Fatty acid 21:0,Fatty acid 22:0,Fatty acid 23:0,Fatty acid 24:0,Fatty acid 26:0,Fatty acid 30:0,Fatty acid 10:1,Fatty acid 14:1 n-7,Fatty acid 14:1,Fatty acid 15:1,Fatty acid 16:1 n-9,Fatty acid 16:1 n-7,Fatty acid 16:1 n-5,Fatty acid 16:1 cis,Fatty acid 16:1 trans,Fatty acid 16:1,Fatty acid 17:1 n-9,Fatty acid 17:1 n-7,Fatty acid 17:1 cis,Fatty acid 17:1,Fatty acid 18:1 n-11,Fatty acid 18:1 cis n-9,Fatty acid 18:1 trans n-9,Fatty acid 18:1 n-9,Fatty acid 18:1 cis n-7,Fatty acid 18:1 n-7,Fatty acid 18:1 n-5,Fatty acid 18:1 cis,Fatty acid 18:1 trans,Fatty acid 18:1,Fatty acid 19:1,Fatty acid 20:1 cis n-11,Fatty acid 20:1 n-11,Fatty acid 20:1 cis n-9,Fatty acid 20:1 n-9,Fatty acid 20:1 n-7,Fatty acid 20:1 cis,Fatty acid 20:1,Fatty acid 22:1 n-11,Fatty acid 22:1 n-9,Fatty acid 22:1 cis,Fatty acid 22:1 trans,Fatty acid 22:1,Fatty acid 24:1 n-9,Fatty acid 24:1 cis,Fatty acid 24:1,Fatty acid 16:2 n-6,Fatty acid 16:2 n-4,Fatty acid 16:2,Fatty acid 17:2,Fatty acid 18:2 cis n-6,Fatty acid 18:2 n-6,Fatty acid 18:2 conjugated,Fatty acid 18:2 cis,Fatty acid 18:2 trans,Fatty acid 18:2,Fatty acid 20:2 n-9,Fatty acid 20:2 cis n-6,Fatty acid 20:2 n-6,Fatty acid 20:2 cis,Fatty acid 20:2,Fatty acid 22:2 n-6,Fatty acid 22:2,Fatty acid 16:3 n-3,Fatty acid 16:3,Fatty acid 18:3 cis n-6,Fatty acid 18:3 n-6,Fatty acid 18:3 n-4,Fatty acid 18:3 cis n-3,Fatty acid 18:3 n-3,Fatty acid 18:3,Fatty acid 20:3 n-9,Fatty acid 20:3 cis n-6,Fatty acid 20:3 n-6,Fatty acid 20:3 n-3,Fatty acid 20:3,Fatty acid 22:3 n-6,Fatty acid 22:3,Fatty acid 16:4 n-3,Fatty acid 16:4 cis,Fatty acid 16:4,Fatty acid 18:4 cis n-3,Fatty acid 18:4 n-3,Fatty acid 18:4,Fatty acid 20:4 cis n-6,Fatty acid 20:4 n-6,Fatty acid 20:4 n-3,Fatty acid 20:4,Fatty acid 22:4 cis n-6,Fatty acid 22:4 n-6,Fatty acid 22:4 n-3,Fatty acid 22:4,Fatty acid 20:5 cis n-3,Fatty acid 20:5 n-3,Fatty acid 20:5,Fatty acid 21:5 n-3,Fatty acid 21:5,Fatty acid 22:5 n-6,Fatty acid 22:5 cis n-3,Fatty acid 22:5 n-3,Fatty acid 22:5,Fatty acid 22:6 cis n-3,Fatty acid 22:6 n-3,Fatty acid 22:6,Fatty acid 24:6 n-3,Fatty acid 24:6
1,91001.0,12.0,TLN,"Nile tilapia, fillet, raw (n.s.)",,r,"fi002, fi015, fi017, fi023, fi028, fi074, fi100, fi118, fi157, fi277, fi435, fi244, fi266, fi333, fi435, fi465, fi445, UK7-16-154, CIQ12-Nile tilapia, CRY-Tilapia, SR27-15261, WF",0.297,1,390.83889423076926,92.59389423076922,79.51181818181819,2.930430769230769,18.315192307692307,2.1481250000000003,0,0,41.7,0.9742857142857143,14.566666666666668,0.055,0.7871428571428571,343.75,26.064,36.92,179.82714285714286,0.44399999999999995,4.786666666666666,24,1,tr,19.955,0.805,0.04,0.06333333333333334,6.699889097456329,3.5075,0.68,0.20500000000000002,13.200000000000001,1.305,tr,1110,1160,2100,201,2930,951,429,848,1460,1650,541,739,690,742,867,192,620,885,0.87,1.86,0.69,0.56,0.62,0,,0.19,,,,,,0.01,tr,0.06,0.02,0.41,0.02,0.14,,0.01,0.01,0.01,0,0.01,,,,,0.01,0.01,,,,,,0.10,,,,0.01,,,,,,,,,,0.39,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.14,,,,,0.02,,0.01,,,,,,,,0.04,,,,,0.02,,,,,,,,0.01,,,,0.08,,,,0.04,,0.04,0.04,,tr,,,,0.07,,0.15,0.15,,
2,91067.0,12.0,TLN,"Nile tilapia, fillet, steamed (n.s.)",,c,calc. from 091001,0.297,1,449.240108311229,106.4297634836428,76.4503657262278,3.3683112290008843,21.051945181255526,2.4691091954022992,0,0,47.931034482758626,1.1198686371100164,16.74329501915709,0.056896551724137934,0.7238095238095239,296.33620689655174,25.464827586206894,36.07126436781609,175.69318555008212,0.5103448275862068,4.951724137931034,24.827586206896555,1.0344827586206897,tr,20.64310344827586,0.9252873563218391,0.034482758620689655,0.05095785440613027,6.491539192478539,2.822126436781609,0.5471264367816092,0.16494252873563217,10.620689655172415,1.2,tr,1280,1340,2410,230.64880178666417,3370,1090,492.74971290787346,975.0153893708984,1680,1900,621.7033611795083,849.2069520327179,793.6415588750217,852.3521629661725,995.9834622605952,220.1647653418158,712.9144782496892,1020,0.88,2.16,0.80,0.65,0.71,0,,0.22,,,,,,0.01,tr,0.07,0.02,0.47,0.03,0.16,,0.01,0.01,0.01,0,0.01,,,,,0.01,0.01,,,,,,0.12,,,,0.01,,,,,,,,,,0.46,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.16,,,,,0.02,,0.01,,,,,,,,0.05,,,,,0.03,,,,,,,,0.01,,,,0.10,,,,0.04,,0.04,0.04,,tr,,,,0.08,,0.17,0.17,,
3,91128.0,12.0,TLN,"Nile tilapia, fillet, boiled in recipe (n.s.)",,c,calc. from 091001,0.297,1,449.240108311229,106.4297634836428,76.4503657262278,3.3683112290008843,21.051945181255526,2.4691091954022992,0,0,47.931034482758626,1.1198686371100164,16.74329501915709,0.06321839080459771,0.9047619047619048,395.11494252873564,29.958620689655174,42.43678160919541,206.69786535303777,0.5103448275862068,5.50191570881226,27.586206896551726,1.0344827586206897,tr,20.64310344827586,0.9252873563218391,0.03908045977011495,0.07279693486590039,7.499441491329113,3.8300287356321836,0.664367816091954,0.2002873563218391,12.896551724137932,1.3499999999999999,tr,1280,1340,2410,230.64880178666417,3370,1090,492.74971290787346,975.0153893708984,1680,1900,621.7033611795083,849.2069520327179,793.6415588750217,852.3521629661725,995.9834622605952,220.1647653418158,712.9144782496892,1020,0.88,2.16,0.80,0.65,0.71,0,,0.22,,,,,,0.01,tr,0.07,0.02,0.47,0.03,0.16,,0.01,0.01,0.01,0,0.01,,,,,0.01,0.01,,,,,,0.12,,,,0.01,,,,,,,,,,0.46,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.16,,,,,0.02,,0.01,,,,,,,,0.05,,,,,0.03,,,,,,,,0.01,,,,0.10,,,,0.04,,0.04,0.04,,tr,,,,0.08,,0.17,0.17,,
4,91189.0,12.0,TLN,"Nile tilapia, fillet, grilled (n.s.)",,c,calc. from 091001,0.297,1,494.7327775073028,117.2074610516066,74.0655926352129,3.709406037000973,23.183787731256082,2.7191455696202533,0,0,52.78481012658228,1.2332730560578662,18.438818565400844,0.0661392405063291,0.8469258589511753,369.85759493670884,29.693164556962024,39.72405063291139,204.86636528028933,0.5620253164556961,6.059071729957805,30.379746835443036,1.139240506329114,tr,22.733544303797466,1.018987341772152,0.04050632911392405,0.06814345991561181,7.8148912626029485,3.773892405063291,0.7574683544303797,0.23354430379746838,13.367088607594939,1.4867088607594934,tr,1410,1470,2650,254.00564247392128,3710,1200,542.6484180124681,1070,1850,2090,684.6606635774332,935.2025927448918,874.01032433072,938.6663060513545,1100,242.45993145237944,785.1083494648476,1120,0.88,2.39,0.89,0.72,0.79,0,,0.24,,,,,,0.01,tr,0.07,0.02,0.52,0.03,0.18,,0.01,0.01,0.01,0,0.01,,,,,0.01,0.02,,,,,,0.13,,,,0.01,,,,,,,,,,0.50,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.18,,,,,0.02,,0.01,,,,,,,,0.05,,,,,0.03,,,,,,,,0.01,,,,0.11,,,,0.05,,0.05,0.05,,tr,,,,0.09,,0.19,0.19,,
5,91002.0,12.0,TLN,"Nile tilapia, farmed, fillet, raw (n.s.)",F,r,"fi015, fi074, fi277, fi244, fi266, fi465, CIQ12-Nile tilapia, 091001, SR27-15261",0.297,1,407.83523809523814,96.75142857142858,78.0657142857143,2.902857142857143,18.142857142857142,2.686666666666667,0,0,43.25,1.01,14.566666666666668,0.05333333333333334,0.8225,308.3333333333333,26.55333333333333,33.15,160,0.4533333333333333,5,24,1,tr,19.955,0.805,0.035,0.05,6.805683930942895,3.643333333333333,0.68,0.20500000000000002,13.200000000000001,1.0733333333333333,tr,1100,1150,2080,199,2900,942,425,840,1450,1640,536,732,684,735,858,190,614,876,0.88,2.36,0.87,0.80,0.69,0,,0.10,0.35,,,,,tr,,0.12,tr,0.57,0.01,0.14,,0.01,tr,tr,0,tr,,,,,tr,,,,,,,0.10,,,,,,,,0.66,,,,,,0.66,,,,,,,,0.03,,,,,0.01,,,0.01,,,,,,0.35,,,,0.35,,,,,0.07,,,,,,,,,,0.07,,,,,0.03,,,,,,,,tr,,,,0.03,,,,,,0.02,0.02,,,,,,0.04,,0.07,0.07,,
6,91068.0,12.0,TLN,"Nile tilapia, farmed, fillet, steamed (n.s.)",F,c,calc. from 091002,0.297,1,468.776135741653,111.20853858784892,74.78817733990148,3.3366174055829223,20.853858784893266,3.088122605363985,0,0,49.71264367816092,1.160919540229885,16.74329501915709,0.05517241379310345,0.7563218390804598,265.8045977011494,25.942911877394632,32.387931034482754,156.32183908045977,0.5210727969348659,5.172413793103448,24.827586206896555,1.0344827586206897,tr,20.64310344827586,0.9252873563218391,0.03017241379310345,0.040229885057471264,6.566303368899879,2.9314176245210724,0.5471264367816092,0.16494252873563217,10.620689655172415,0.9869731800766284,tr,1270,1330,2390,228.47853250381075,3340,1080,488.11322853086847,965.8410692206545,1670,1880,615.8534989761808,841.2164151276668,786.1738595699306,844.3320314799915,986.611844902819,218.09314466272843,706.2063731935967,1010,0.89,2.74,1.01,0.93,0.80,0,,0.11,0.40,,,,,tr,,0.14,tr,0.66,0.01,0.17,,0.01,tr,tr,0,tr,,,,,tr,,,,,,,0.12,,,,,,,,0.76,,,,,,0.76,,,,,,,,0.03,,,,,0.01,,,0.01,,,,,,0.40,,,,0.40,,,,,0.09,,,,,,,,,,0.08,,,,,0.03,,,,,,,,tr,,,,0.04,,,,,,0.03,0.03,,,,,,0.05,,0.09,0.09,,
7,91129.0,12.0,TLN,"Nile tilapia, farmed, fillet, boiled in recipe (n.s.)",F,c,calc. from 091002,0.297,1,468.776135741653,111.20853858784892,74.78817733990148,3.3366174055829223,20.853858784893266,3.088122605363985,0,0,49.71264367816092,1.160919540229885,16.74329501915709,0.06130268199233717,0.9454022988505747,354.4061302681992,30.521072796934863,38.103448275862064,183.90804597701148,0.5210727969348659,5.747126436781609,27.586206896551726,1.0344827586206897,tr,20.64310344827586,0.9252873563218391,0.034195402298850576,0.0574712643678161,7.613238234800263,3.9783524904214556,0.664367816091954,0.2002873563218391,12.896551724137932,1.110344827586207,tr,1270,1330,2390,228.47853250381075,3340,1080,488.11322853086847,965.8410692206545,1670,1880,615.8534989761808,841.2164151276668,786.1738595699306,844.3320314799915,986.611844902819,218.09314466272843,706.2063731935967,1010,0.89,2.74,1.01,0.93,0.80,0,,0.11,0.40,,,,,tr,,0.14,tr,0.66,0.01,0.17,,0.01,tr,tr,0,tr,,,,,tr,,,,,,,0.12,,,,,,,,0.76,,,,,,0.76,,,,,,,,0.03,,,,,0.01,,,0.01,,,,,,0.40,,,,0.40,,,,,0.09,,,,,,,,,,0.08,,,,,0.03,,,,,,,,tr,,,,0.04,,,,,,0.03,0.03,,,,,,0.05,,0.09,0.09,,
8,91190.0,12.0,TLN,"Nile tilapia, farmed, fillet, grilled (n.s.)",F,c,calc. from 091002,0.297,1,516.2471368294152,122.47016274864376,72.2350813743219,3.6745027124773957,22.965641952983724,3.4008438818565403,0,0,54.74683544303797,1.2784810126582278,18.438818565400844,0.06413502109704641,0.8849683544303797,331.75105485232064,30.250632911392405,35.667721518987335,182.27848101265823,0.5738396624472574,6.329113924050633,30.379746835443036,1.139240506329114,tr,22.733544303797466,1.018987341772152,0.035443037974683546,0.05379746835443038,7.923017634104931,3.9200421940928267,0.7574683544303797,0.23354430379746838,13.367088607594939,1.2227848101265821,tr,1400,1460,2630,251.6155990864751,3680,1190,537.5424162301969,1060,1830,2070,678.2184102649079,926.4028875456582,865.7864023111894,929.834009351383,1090,240.17852640072624,777.720942630923,1110,0.89,3.03,1.11,1.03,0.89,0,,0.12,0.44,,,,,tr,,0.15,tr,0.73,0.01,0.18,,0.01,tr,tr,0,tr,,,,,tr,,,,,,,0.13,,,,,,,,0.84,,,,,,0.84,,,,,,,,0.03,,,,,0.01,,,0.02,,,,,,0.44,,,,0.44,,,,,0.10,,,,,,,,,,0.09,,,,,0.04,,,,,,,,tr,,,,0.04,,,,,,0.03,0.03,,,,,,0.05,,0.09,0.09,,
9,91003.0,12.0,TLN,"Nile tilapia, farmed, fillet w/o skin, raw (China)",F,r,"fi074, fi244, fi266, 091001, SR27-15261",0.297,1,367.0916666666666,86.93333333333332,80,2.793333333333333,17.458333333333332,1.8999999999999997,0,0,43.25,1,13.1,0.035,0.21500000000000002,317.5,26.7,27.65,156,0.33,5,22.9,1,tr,19.955,0.805,0.035,0.05,6.683036188579017,3.6399999999999997,0.68,0.20500000000000002,13.200000000000001,1.085,tr,1060,1110,2000,191,2790,907,409,809,1390,1570,516,704,658,707,826,183,591,843,0.86,1.63,0.55,0.58,0.49,0.02,,0.05,0.25,,,,,tr,,0.05,tr,0.38,0.01,0.09,,tr,tr,tr,0,tr,,,,,tr,,,,,,,0.07,,,,,,,,0.47,,,,,,0.47,,,,,,,,0.02,,,,,tr,,,0.01,,,,,,0.25,,,,0.25,,,,,0.05,,,,,,,,,,0.06,,,,,0.02,,,,,,,tr,tr,,,,0.03,,,,,,tr,tr,,,,,,0.03,,0.04,0.04,,
10,91069.0,12.0,TLN,"Nile tilapia, farmed, fillet w/o skin, steamed (China)",F,c,calc. from 091003,0.297,1,421.94444444444446,99.92337164750958,77.01149425287356,3.210727969348659,20.06704980842912,2.1839080459770113,0,0,49.71264367816092,1.1494252873563218,15.057471264367816,0.03620689655172415,0.1977011494252874,273.7068965517241,26.086206896551726,27.01436781609195,152.41379310344826,0.37931034482758624,5.172413793103448,23.689655172413794,1.0344827586206897,tr,20.64310344827586,0.9252873563218391,0.03017241379310345,0.040229885057471264,6.4264783776770305,2.9287356321839075,0.5471264367816092,0.16494252873563217,10.620689655172415,0.9977011494252873,tr,1220,1280,2300,219.85811543099635,3210,1040,469.69688296621945,929.4002152310298,1600,1810,592.6175565935491,809.4776068141229,756.5117880966556,812.4756720245455,949.3873166338478,209.8645647295874,679.5614476958068,969.3744180366656,0.87,1.89,0.63,0.67,0.57,0.02,,0.05,0.29,,,,,tr,,0.05,tr,0.44,0.01,0.11,,tr,tr,tr,0,tr,,,,,tr,,,,,,,0.09,,,,,,,,0.54,,,,,,0.54,,,,,,,,0.02,,,,,tr,,,0.01,,,,,,0.29,,,,0.29,,,,,0.06,,,,,,,,,,0.07,,,,,0.02,,,,,,,tr,tr,,,,0.04,,,,,,tr,tr,,,,,,0.03,,0.05,0.05,,
11,91130.0,12.0,TLN,"Nile tilapia, farmed, fillet w/o skin, boiled in recipe (China)",F,c,calc. from 091003,0.297,1,421.94444444444446,99.92337164750958,77.01149425287356,3.210727969348659,20.06704980842912,2.1839080459770113,0,0,49.71264367816092,1.1494252873563218,15.057471264367816,0.04022988505747127,0.24712643678160923,364.9425287356322,30.689655172413794,31.781609195402297,179.31034482758622,0.37931034482758624,5.747126436781609,26.321839080459768,1.0344827586206897,tr,20.64310344827586,0.9252873563218391,0.034195402298850576,0.0574712643678161,7.472455389171284,3.974712643678161,0.664367816091954,0.2002873563218391,12.896551724137932,1.1224137931034484,tr,1220,1280,2300,219.85811543099635,3210,1040,469.69688296621945,929.4002152310298,1600,1810,592.6175565935491,809.4776068141229,756.5117880966556,812.4756720245455,949.3873166338478,209.8645647295874,679.5614476958068,969.3744180366656,0.87,1.89,0.63,0.67,0.57,0.02,,0.05,0.29,,,,,tr,,0.05,tr,0.44,0.01,0.11,,tr,tr,tr,0,tr,,,,,tr,,,,,,,0.09,,,,,,,,0.54,,,,,,0.54,,,,,,,,0.02,,,,,tr,,,0.01,,,,,,0.29,,,,0.29,,,,,0.06,,,,,,,,,,0.07,,,,,0.02,,,,,,,tr,tr,,,,0.04,,,,,,tr,tr,,,,,,0.03,,0.05,0.05,,
12,91191.0,12.0,TLN,"Nile tilapia, farmed, fillet w/o skin, grilled (China)",F,c,calc. from 091003,0.297,1,464.67299578059067,110.04219409282699,74.68354430379746,3.5358649789029535,22.09915611814346,2.40506329113924,0,0,54.74683544303797,1.2658227848101264,16.582278481012658,0.04208860759493671,0.23132911392405064,341.6139240506329,30.417721518987342,29.749999999999996,177.72151898734177,0.4177215189873418,6.329113924050633,28.987341772151897,1.139240506329114,tr,22.733544303797466,1.018987341772152,0.035443037974683546,0.05379746835443038,7.768400238707617,3.916455696202531,0.7574683544303797,0.23354430379746838,13.367088607594939,1.2360759493670885,tr,1340,1410,2530,242.12222838603392,3540,1150,517.2611242792543,1020,1760,1990,652.6294610587187,891.4500226940339,833.1205767646712,894.7516894447525,1050,231.11667255030514,748.3777968295593,1070,0.87,2.10,0.70,0.74,0.63,0.03,,0.06,0.32,,,,,tr,,0.06,tr,0.49,0.01,0.12,,tr,tr,tr,0,tr,,,,,tr,,,,,,,0.10,,,,,,,,0.60,,,,,,0.60,,,,,,,,0.03,,,,,tr,,,0.01,,,,,,0.32,,,,0.32,,,,,0.07,,,,,,,,,,0.08,,,,,0.03,,,,,,,tr,tr,,,,0.04,,,,,,tr,tr,,,,,,0.04,,0.05,0.05,,
13,91004.0,12.0,TLN,"Nile tilapia, dressed w/ head, raw (Bangladesh)",,r,"fi333, fi367, fi467, 091001, AF2-AAG15, SR27-15261",0.81,,448.0866666666667,106.35666666666668,76.70333333333333,3.122666666666667,19.51666666666667,3.143333333333333,0,0,,1.55,107.5,0.036000000000000004,0.9533333333333335,300,25.623333333333335,66.5,188.59666666666666,1.0399999999999998,11,39,10,tr,20.15,0.95,0.03,0.1,5.6018094289508635,2.2,0.68,0.20500000000000002,13.200000000000001,1.6,tr,1190,1240,2230,214,3120,1010,457,904,1560,1760,576,787,736,790,923,204,661,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,91070.0,12.0,TLN,"Nile tilapia, dressed w/ head, steamed (Bangladesh)",,c,calc. from 091004,0.81,,515.0421455938698,122.24904214559388,73.22222222222223,3.5892720306513417,22.432950191570885,3.6130268199233715,0,0,,1.781609195402299,123.5632183908046,0.03724137931034483,0.8766283524904216,258.62068965517244,25.034291187739463,64.97126436781609,184.2611111111111,1.1954022988505746,11.379310344827587,40.3448275862069,10.344827586206897,tr,20.844827586206893,1.0919540229885056,0.02586206896551724,0.08045977011494253,5.6802407229320275,1.7701149425287357,0.5471264367816092,0.16494252873563217,10.620689655172415,1.4712643678160922,tr,1360,1430,2570,245.77933476820695,3590,1170,525.0740333684421,1040,1790,2020,662.4870250797577,904.9148234647618,845.7043473615121,908.2663598479647,1060,234.6075468241975,759.6815801926394,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,91131.0,12.0,TLN,"Nile tilapia, dressed w/ head, boiled in recipe (Bangladesh)",,c,calc. from 091004,0.81,,515.0421455938698,122.24904214559388,73.22222222222223,3.5892720306513417,22.432950191570885,3.6130268199233715,0,0,,1.781609195402299,123.5632183908046,0.04137931034482759,1.095785440613027,344.82758620689657,29.45210727969349,76.4367816091954,216.77777777777777,1.1954022988505746,12.64367816091954,44.827586206896555,10.344827586206897,tr,20.844827586206893,1.0919540229885056,0.029310344827586206,0.1149425287356322,6.312424630978004,2.4022988505747125,0.664367816091954,0.2002873563218391,12.896551724137932,1.6551724137931036,tr,1360,1430,2570,245.77933476820695,3590,1170,525.0740333684421,1040,1790,2020,662.4870250797577,904.9148234647618,845.7043473615121,908.2663598479647,1060,234.6075468241975,759.6815801926394,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,91192.0,12.0,TLN,"Nile tilapia, dressed w/ head, grilled (Bangladesh)",,c,calc. from 091004,0.81,,567.1983122362869,134.62869198312237,70.51054852320675,3.9527426160337558,24.704641350210974,3.9789029535864975,0,0,,1.9620253164556962,136.0759493670886,0.04329113924050633,1.0257383966244726,322.7848101265823,29.19113924050633,71.5506329113924,214.85696202531645,1.3164556962025313,13.924050632911392,49.36708860759494,11.39240506329114,tr,22.95569620253164,1.2025316455696202,0.030379746835443037,0.10759493670886076,6.673176492342866,2.367088607594937,0.7574683544303797,0.23354430379746838,13.367088607594939,1.8227848101265824,tr,1500,1570,2830,270.6683813270127,3950,1280,578.2460873804362,1140,1970,2230,729.5743187587204,996.551767613092,931.3452939297664,1000,1170,258.36527308487575,836.6113604653118,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,91005.0,12.0,TLN,"Nile tilapia, wild, fillet w/ bones, raw (Africa)",W,r,"fi023, fi028, fi038, fi100, fi118, fi278, fi445, 091001, SR27-15261",0.297,0.98,352.07466666666664,83.43266666666666,80.52346153846153,2.6132266666666664,16.332666666666665,2.0113333333333334,0,0,40.666666666666664,3.5515,[883],0.3,[3],269,36,72,508,[7],[100],24,1,tr,19.955,0.805,0.04,0.06333333333333334,6.354329349269588,3.5075,0.68,0.20500000000000002,13.200000000000001,1.305,tr,992,1040,1870,179,2610,848,382,756,1300,1470,482,659,616,661,773,171,553,789,0.86,1.73,0.63,0.34,0.67,0.09,,0.28,,,,,,0.01,0.01,0.03,0.02,0.36,0.03,0.15,,tr,,0.01,,0.01,,,,,tr,0.01,,,,,,0.10,,,,0.01,,,,,,,,,,0.19,,,,,,,,0.01,,,,,tr,,,0.01,,,tr,tr,,,,,,0.07,,,,,0.01,,,,,,,,,,0.04,,,,,0.02,,,,,,,,tr,,,,0.10,,,,0.04,,0.06,0.06,,tr,,,,0.08,,0.23,0.23,,
